id,type,name,brand,averageRating,manufacturerName,shortDescription,thumbnailUrl,price,currencyUnit,url
3MHCMTDZ8OB5,Beef,"Great Value Beef Burgers, 80% Lean/20% Fat, 3 lbs, 12 Count (Frozen)",Great Value,,,"Great Value 80% Lean/20% Fat Beef Burgers are ready to cook any time you are. These juicy burgers cook from frozen on your grill, pan, electric skillet, or broiler. This reclosable bag contains twelve individually quick-frozen beef patties so you can feed the whole crew at your next backyard cookout. Try these delicious burgers on your favorite bun or wrap in lettuce for a high-protein, low-carb indulgence. Everyone loves a hot, juicy burger piled high with lettuce, tomatoes, onions, and pickles. Or you can serve these burgers open-face style, topped with mushrooms and grilled onions for a tasty twist. For a delicious dinner solution any night of the week, try these Great Value 80% Lean/20% Fat Beef Burgers.Great Value products provide families with affordable, high-quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time. Gluten-Free.",https://i5.walmartimages.com/asr/dc145bb1-2d18-4aa2-b18d-3eb595a82011_4.1f7202065508ac87ee1f8022968bf1dc.jpeg,13.32,USD,https://www.walmart.com/ip/Great-Value-Beef-Burgers-80-Lean-20-Fat-3-lbs-12-Count-Frozen/10315960
3HQ915UL4WW3,Juices,"Welch's Concord Grape Fruit Juice Drink, 59 fl oz carton",Welch's,4.2,,"<p>Welch&#39;s Refrigerated Concord Grape Fruit Juice Drink is bursting with the rich, bold flavor of Welch&#39;s Concord grapes. You can trust the goodness of Welch&#39;s: There&#39;s 20% Daily Value of Vitamin C per serving, with no artificial flavors or preservatives. And you can feel great about buying Welch&#39;s, because we&#39;re owned by family farmers who have been farming their land for as many as seven generations. This is a single 59 fl. oz. carton of refrigerated juice.</p>",https://i5.walmartimages.com/asr/5fce5161-5aac-4cc6-a1ba-926ff5030027.5d4c9242dada770091fe5c44e48bf29f.png,2,USD,https://www.walmart.com/ip/Welch-s-Concord-Grape-Fruit-Juice-Drink-59-fl-oz-carton/21905154
3LRIGEIVAHZP,Canned & Jarred Vegetables,"Butter Kernel Cut Green Beans, 14.5 oz, Can",Butter Kernel,5,,"Butter Kernel Cut Green Beans are picked at peak flavor and canned within hours to lock in nutrients. A trusted brand, Butter Kernel Beans provide premium quality and can be enjoyed year round.",https://i5.walmartimages.com/asr/8459fbe2-4610-4818-912e-7fef1dba0438.b2485afe458b0f9c38358556b239d019.jpeg,1.98,USD,https://www.walmart.com/ip/Butter-Kernel-Cut-Green-Beans-14-5-oz-Can/10293122
61ERIKH7NP3B,Canned & Jarred Vegetables,"Allens Canned Cut Italian Green Beans, 14.5 oz",The Allens,4.9,,"Allens Italian Green Beans are Kentucky wonder style flat beans that are meticulously harvested at peak freshness and then immediately packed to retain all the natural flavor and valuable nutrients. Season these canned green beans to your liking to create easy Southern flair all your own. Ready to heat and eat, farm fresh flat green beans make a delicious side dish without spending lots of precious time in the kitchen. No washing, trimming or cooking required. Canned Italian green beans are the perfect accompaniment to a traditional Southern dinner and are an ideal ingredient in your favorite casseroles, soups and stews. This can of green beans is cholesterol free, saturated fat free and naturally gluten free, appealing to a variety of dietary preferences. Allens canned vegetables help bring authentic Southern flair and treasured memories right to your dinner table.",https://i5.walmartimages.com/asr/46d189b7-33f4-4bab-917c-c0d920e73760.1be9c6bd33b286a0f8d055f688f9c066.png,3.69,USD,https://www.walmart.com/ip/Allens-Canned-Cut-Italian-Green-Beans-14-5-oz/10312198
5YH6900KWYCJ,Turkey,"Sunnyvalley Smoked Turkey Necks, Fresh, Fully Cooked, 1-2 Pound. Tray Pack. Gluten Free.",Sunnyvalley,,,"Sunnyvalley Smoked Turkey Necks are a fresh, fully cooked, high protein option to add to your next meal. This 1 to 2 pound product contrails 17 grams of protein per serving. With no added preservatives, it's also  gluten free with no MSG added. Vacuum sealed and packaged in plastic.",https://i5.walmartimages.com/asr/f8323fd2-9d3b-48f5-a975-11044b15a5d6_1.c1bd7b3ed8be424de2c7408c04d7d0ef.jpeg,5.27,USD,https://www.walmart.com/ip/Sunnyvalley-Smoked-Turkey-Necks-Fresh-Fully-Cooked-1-2-Pound-Tray-Pack-Gluten-Free/197380608
7JRPN094GDY9,Single Herbs & Spices,"Iberia Chopped Garlic in Oil, 32 oz",Iberia,,,"<p>Use Iberia Chopped Garlic in Oil as a healthy taste enhancer for all your beef, chicken, pork, and fish dishes.*NEW_LINE*</p>",https://i5.walmartimages.com/asr/638b28db-4257-413b-8816-3d49aa24de22_1.d9c8ff7d06c55c0c50fd325fcc43f4aa.jpeg,3.98,USD,https://www.walmart.com/ip/Iberia-Chopped-Garlic-in-Oil-32-oz/35771744
5J6MJ8Q8KAE8,Breakfast Bars & Cereal Bars,"Great Value Chewy Granola Bars Variety Pack, Value Pack, 0.84 oz, 24 Count",Great Value,4.3,,"<p>Chewy Granola Bars Variety Pack<br /><br />Snack responsibly with our Great Value Chewy Variety Pack Granola Bars Value Pack. You will find a total of 24 granola bars of three different varieties in each box, giving you plenty to share. Pick between peanut butter and chocolate chip, chocolate chunk, or s'mores flavors with confidence that each bar contains just 100 calories or less. This box is a great option to keep in your home or office or to bring along to your child's sporting event to share treats with the whole team. Curb your mid-meal cravings with the crowd-pleasing goodness of our Great Value Chewy Variety Pack Granola Bars Value Pack!<br /><br />Great Value products provide families with affordable, high quality grocery and household consumable options. With our wide range of product categories spanning grocery and household consumables, we offer you a variety of products for your family's needs. Our products are conveniently available online and in Walmart stores nationwide, allowing you to stock up and save money at the same time.</p>",https://i5.walmartimages.com/asr/b3175c5d-4dec-475f-ad50-6654c901ceda.3ec4638ea2e05f96c612f8eec2c7843e.jpeg,3.84,USD,https://www.walmart.com/ip/Great-Value-Chewy-Granola-Bars-Variety-Pack-Value-Pack-0-84-oz-24-Count/39127386
1APE4AONGSUP,Snack Bars,"Sunbelt Bakery Chocolate Chip Chewy Granola Bars, 10 Bars, 11.26 oz",Sunbelt Bakery,4.3,,"Chocolate lovers rejoice! We’ve added the taste of fudge to our already
delicious Chocolate Chip Granola Bar.",https://i5.walmartimages.com/asr/b7aa644a-5c6f-4716-89d8-d85869903973.cc6466fd5b79279c49b30c05e4fe8d4e.jpeg,6.98,USD,https://www.walmart.com/ip/Sunbelt-Bakery-Chocolate-Chip-Chewy-Granola-Bars-10-Bars-11-26-oz/21656754
4ZL97TK0IM2F,Snack Crackers,"Kinnikinnick Graham Style Crackers, 8 Oz",Kinnikinnick Foods,4.3,,"Water, White Rice Flour, Potato Starch, Tapioca Starch, Fructose, Non Hydrogenated Palm Oil Shortening palm oil, modified palm oil, Egg Whites, Cellulose Powder, Tapioca Syrup, Psyllium fiber, Cellulose, Yeast, Glycerin, Salt, Pure Vanilla Extract, Enzymes, Icing sugar, corn starch, water, glucose, xanthan gum, sodium citrate, natural flavor, salt, locust bean gum, natural color titanium dioxide, citric acid.",https://i5.walmartimages.com/asr/68389ac6-6072-4e56-895d-140c9eae249b.03b212a45bd3e579665abd3c3378a4f7.jpeg,24.73,USD,https://www.walmart.com/ip/Kinnikinnick-Graham-Style-Crackers-8-Oz/25526432
3CNCS7315PDU,Snack Crackers,"Kellogg's Grahams Original Crackers, 15 oz",Grahams,4,,"Put the ""aha"" in fun, snack-time possibilities with Kellogg's Original Graham Crackers. Includes 1, 15-ounce box of Graham Crackers ready to dip, top or enjoy right out of the box. Made with delicious ingredients like graham flour and the perfect hint of molasses, each cracker contains no high fructose corn syrup, no artificial colors or flavors, and no cholesterol (1g polyunsaturated fat, 2g monounsaturated fat). Pair with favorite ingredients such as peanut butter, frosting or a glass of milk; Add marshmallows and chocolate for a tasty campfire treat. Pack some in a snack bag, backpack or lunch box for a crispy on-the-go delight. Or crush some up for your favorite graham cracker pie crust or cookie bar recipes. However and wherever you enjoy them, Kellogg's Original Graham Crackers are a classic taste to please the whole family.",https://i5.walmartimages.com/asr/9bce1c35-0537-4de1-b124-b31d882ebd3e.302d510344379f6f70c16fb47adf88e0.jpeg,10,USD,https://www.walmart.com/ip/Kellogg-s-Grahams-Original-Crackers-15-oz/11045779
